series,source_run,point_origin,tp,ep,concurrency,kv_offloading,p90_interactivity_tokens_per_s_user,throughput_per_gpu_tokens_per_s,duration_seconds,successful_requests,pareto_frontier,artifact_source
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,24,none,82.68578,29551.28624,3603.58659,3929,false,/tmp/qwen35-current332.9sIbwi/9731460538/qwen3.5_tp4_conc24_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_mi355x-amds_07_recipe-9725ec21771f4fe2.json
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,18,dram,81.37383,40365.06972,927.27543,768,false,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c18_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260829T000003-0500
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,22,dram,81.13203,43632.97300,929.91701,938,true,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c22_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260828T233243-0500
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,24,dram,79.67836,42678.42266,929.34686,942,false,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c24_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260828T211745-0500
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,32,dram,78.78076,46811.57575,925.05769,983,true,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c32_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260829T005004-0500
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,16,none,76.69876,38336.32269,3614.89300,2640,false,/tmp/qwen35-current332.9sIbwi/9731586371/qwen3.5_tp2_conc16_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_mi355x-amds_03_recipe-ecf94fe385859291.json
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,28,dram,76.26678,45559.25747,928.75578,1013,false,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c28_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260828T222959-0500
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,20,dram,73.50175,46237.93394,3609.19891,3146,false,/tmp/qwen35-current332.9sIbwi/9731360340/qwen3.5_tp2_conc20_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_06_recipe-7e1ac8191faabf0f.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,28,none,71.24564,32713.33415,3626.98793,4375,false,/tmp/qwen35-current332.9sIbwi/9729997404/qwen3.5_tp4_conc28_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_mi355x-amds_01_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,20,none,66.96116,44427.45494,3615.59022,3023,false,/tmp/qwen35-current332.9sIbwi/9730039068/qwen3.5_tp2_conc20_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_06_recipe-ecf94fe385859291.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,32,none,56.64297,33747.79877,3624.52398,4490,false,/tmp/qwen35-current332.9sIbwi/9730627973/qwen3.5_tp4_conc32_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_mi355x-amds_03_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,40,none,53.02596,37708.72768,3622.55846,5185,false,/tmp/qwen35-current332.9sIbwi/9730424602/qwen3.5_tp4_conc40_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc40_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,24,dram,51.54155,53830.02915,3603.87978,3592,true,/tmp/qwen35-current332.9sIbwi/9732373714/qwen3.5_tp2_conc24_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_mi355x-amds_05_recipe-7e1ac8191faabf0f.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,40,dram,46.88541,36678.48028,3629.86805,5038,false,/tmp/qwen35-current332.9sIbwi/9732405962/qwen3.5_tp4_conc40_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc40_mi355x-amds_07_recipe-d616ac68e406c7cc.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,28,dram,41.66606,56457.73823,3619.83642,3820,true,/tmp/qwen35-current332.9sIbwi/9730604202/qwen3.5_tp2_conc28_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_mi355x-amds_07_recipe-7e1ac8191faabf0f.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,48,dram,37.76464,38221.64232,3628.17521,5740,false,/tmp/qwen35-current332.9sIbwi/9732055326/qwen3.5_tp4_conc48_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc48_mi355x-amds_00_recipe-d616ac68e406c7cc.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,32,dram,35.00597,59050.50029,3627.33223,3946,true,/tmp/qwen35-current332.9sIbwi/9731105532/qwen3.5_tp2_conc32_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_mi355x-amds_00_recipe-7e1ac8191faabf0f.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,56,dram,29.97600,38885.24495,3629.10089,6295,false,/tmp/qwen35-current332.9sIbwi/9730938981/qwen3.5_tp4_conc56_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc56_mi355x-amds_01_recipe-d616ac68e406c7cc.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,64,dram,23.58250,39877.19566,3628.18708,6709,false,/tmp/qwen35-current332.9sIbwi/9730089695/qwen3.5_tp4_conc64_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc64_mi355x-amds_00_recipe-d616ac68e406c7cc.json
